OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown
1,8/26/2022,0,29,36,133,0,0,0,0,0,0,0,0,0,0,0,57,175,0,0,0,0,0,0,0,0
2,9/2/2022,0,33,43,161,0,0,0,0,0,0,0,0,0,11,0,62,196,0,0,0,0,0,0,0,0
3,9/9/2022,0,34,45,171,0,0,0,0,0,0,0,0,0,14,0,60,204,0,0,0,0,0,0,0,0
4,9/16/2022,0,34,49,188,0,0,0,010,0,0,0,0,15,0,74,211,0,0,0,0,0,0,0
